Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (ISO3),Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","21","Brazil","CPV","Cabo Verde","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","0","","Official data"
"TM","Detailed trade matrix","21","Brazil","CMR","Cameroon","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","270","","Official data"
"TM","Detailed trade matrix","21","Brazil","CMR","Cameroon","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","25","","Official data"
"TM","Detailed trade matrix","21","Brazil","CAN","Canada","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","356","","Official data"
"TM","Detailed trade matrix","21","Brazil","CHL","Chile","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","74","","Official data"
"TM","Detailed trade matrix","21","Brazil","CHL","Chile","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","8","","Official data"
"TM","Detailed trade matrix","21","Brazil","CHL","Chile","5910","Export Quantity","239","Soya sauce","2013","2013","tonnes","19","","Official data"
"TM","Detailed trade matrix","21","Brazil","CHL","Chile","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","3","","Official data"
"TM","Detailed trade matrix","21","Brazil","HKG","China, Hong Kong SAR","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","3700","","Official data"
"TM","Detailed trade matrix","21","Brazil","HKG","China, Hong Kong SAR","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","8699","","Official data"
"TM","Detailed trade matrix","21","Brazil","41","China, mainland","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","25943","","Official data"
"TM","Detailed trade matrix","21","Brazil","41","China, mainland","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","529034","","Official data"
"TM","Detailed trade matrix","21","Brazil","41","China, mainland","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","32251520","","Official data"
