system:index,area,class,co_mun,year,.geo
0_000000000000000003ab_0_0,1334787.7722346461,0,5105507.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000003ab_0_1,5888.324579791214,39,5105507.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000003ad_0_0,519841.0338475621,0,5105606.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000003ad_0_1,3887.3364412880296,39,5105606.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000003af_0_0,365671.4682751472,0,5105903.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000003af_0_1,23354.69473761586,39,5105903.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000003b0_0_0,119659.30857147236,0,5106000.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000003b0_0_1,15157.52952174822,39,5106000.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000003b3_0_0,400254.3993646634,0,5106174.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000003b3_0_1,3373.9434615639584,39,5106174.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000003b6_0_0,324364.81049775716,0,5106208.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000003b6_0_1,3659.7700260467154,39,5106208.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000003b7_0_0,582175.0919767015,0,5106216.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000003b7_0_1,14279.902169967634,39,5106216.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
